epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.743,1.83494,3.49709,1.84698,0.00308,0.925,0.24987,0.11397,2.02624,4.36433,2.12986,0.00034,0.00034,0.00034
2,238.137,1.74869,2.84797,1.66843,0.35924,0.2875,0.20507,0.08471,2.07894,4.07189,2.32484,0.00069307,0.00069307,0.00069307
3,347.955,1.86953,2.9575,1.8033,0.50093,0.15,0.15186,0.06177,2.94735,5.13231,3.74041,0.00103901,0.00103901,0.00103901
4,457.191,1.91852,2.8505,1.85667,0.15031,0.2125,0.06774,0.02318,2.89876,5.51632,4.29542,0.00137783,0.00137783,0.00137783
5,567.318,1.97191,2.71183,1.91422,0.15757,0.0625,0.02813,0.00635,3.41196,5.33895,4.47226,0.00170951,0.00170951,0.00170951
6,675.049,1.91819,2.59104,1.89326,0.12527,0.1125,0.0599,0.01927,2.88462,4.41479,3.62145,0.001901,0.001901,0.001901
7,784.11,1.8611,2.41671,1.77921,0.2537,0.2,0.1436,0.05719,2.30953,8.79336,2.94217,0.0018812,0.0018812,0.0018812
8,904.164,1.83557,2.30074,1.74882,0.21729,0.2875,0.18226,0.09628,2.39592,9.06631,3.18889,0.0018614,0.0018614,0.0018614
9,1014.24,1.8694,2.40952,1.83229,0.60553,0.4125,0.47614,0.24143,1.89403,6.03045,2.38588,0.0018416,0.0018416,0.0018416
10,1123.75,1.83748,2.30568,1.7998,0.22039,0.4,0.21903,0.1068,1.7951,13.7163,2.0687,0.0018218,0.0018218,0.0018218
11,1231.34,1.8028,2.17802,1.75472,0.41623,0.3375,0.28422,0.1366,2.07292,10.2053,2.20971,0.001802,0.001802,0.001802
12,1338.46,1.84896,2.0968,1.75413,0.20305,0.525,0.22048,0.09755,1.80921,6.41167,1.9482,0.0017822,0.0017822,0.0017822
13,1447.43,1.69866,1.97058,1.61609,0.57378,0.5375,0.42677,0.22821,1.51806,2.88074,1.67264,0.0017624,0.0017624,0.0017624
14,1554.4,1.67929,1.86802,1.62508,0.6126,0.6375,0.62601,0.36174,1.58547,2.44917,1.75152,0.0017426,0.0017426,0.0017426
15,1660.76,1.67955,1.81994,1.60339,0.64658,0.45,0.51615,0.24681,1.72263,2.35338,1.81186,0.0017228,0.0017228,0.0017228
16,1769.09,1.68794,1.83298,1.65603,0.66465,0.5625,0.64353,0.30484,1.79138,2.38354,1.86341,0.001703,0.001703,0.001703
17,1875.41,1.70958,1.92631,1.64745,0.69617,0.55,0.63025,0.3287,1.6091,2.1318,1.71411,0.0016832,0.0016832,0.0016832
